Price,Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,Dual SIM,URL
"Rs 176,999",Used,Apple,iPhone 14 Pro Max,128GB PURPLE FULLSET,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-purple-fullset-used-for-sale-colombo-1
"Rs 280,000",Used,Apple,iPhone 16 Pro Max,256GB,iOS,,,,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2385
"Rs 86,000",Used,Apple,iPhone 12,256GB,iOS,,256 GB,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-256gb-used-for-sale-polonnaruwa-3
"Rs 176,999",Used,Apple,iPhone 14 Pro Max,128GB PURPLE FULLSET,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-purple-fullset-used-for-sale-colombo-1
"Rs 144,900",Used,Apple,iPhone 15,15,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-15-used-for-sale-colombo-1201
"Rs 194,000",Used,Apple,iPhone 15 Pro,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-128gb-used-for-sale-colombo-1500
"Rs 32,000",Used,Apple,iPhone X,64GB,iOS,2 GB,64 GB,Dual,Below 4 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-x-64gb-used-for-sale-kurunegala-1284
"Rs 178,000",Used,Apple,iPhone 14 Pro,512GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-512gb-used-for-sale-colombo-296
"Rs 174,000",Used,Apple,iPhone 14 Pro,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-colombo-3233
"Rs 118,000",Used,Apple,iPhone 12 Pro,128GB,iOS,6 GB,128 GB,Triple,5.1 to 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-jaffna-56
"Rs 72,000",Used,Apple,iPhone 11 Pro,,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-used-for-sale-gampaha-2118
"Rs 130,000",Used,Apple,iPhone 13 Pro,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-colombo-4819
"Rs 73,000",Used,Apple,iPhone 11 Pro,256GB,iOS,,256 GB,Triple,,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-colombo-11481
"Rs 176,999",Used,Apple,iPhone 14 Pro Max,128GB PURPLE FULLSET,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-128gb-purple-fullset-used-for-sale-colombo
"Rs 65,000",Used,Apple,iPhone 13,,iOS,4 GB,128 GB,Dual,Above 6 inches,5G,Dual VoLTE,,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-matara-185
"Rs 185,000",Used,Apple,iPhone 16,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-16-128gb-used-for-sale-colombo-1041
"Rs 21,000",Used,Apple,iPhone 7,,iOS,,32 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-7-used-for-sale-hambantota-810
"Rs 130,000",Used,Apple,iPhone 12 Pro Max,,iOS,6 GB,256 GB,Dual,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-colombo-3870
"Rs 17,500",Used,Apple,iPhone 6S,32GB,iOS,16 GB,32 GB,Dual,5.1 to 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-6s-good-fohone-used-for-sale-matara
"Rs 168,999",Used,Apple,iPhone 14 Pro,256GB,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-colombo-3235
"Rs 38,000",Used,Apple,iPhone X,,iOS,4 GB,256 GB,,Below 4 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-x-used-for-sale-jaffna-821
"Rs 155,000",Used,Apple,iPhone 15,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-15-256gb-used-for-sale-colombo-494
"Rs 169,000",Used,Apple,iPhone 14 Pro,1TB,iOS,6 GB,,Triple,5.1 to 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-1tb-used-for-sale-kegalle-2
"Rs 98,999",Used,Apple,iPhone 13,128GB,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11501
"Rs 28,000",Used,Apple,iPhone 7 Plus,256gb,iOS,,256 GB,Dual,Above 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-7-plus-256gb-used-for-sale-gampaha-3305
"Rs 258,500",Used,Apple,iPhone 16 Pro,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-256gb-used-for-sale-kurunegala-47
"Rs 139,990",Used,Apple,iPhone 13 Pro,256GB,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-polonnaruwa-44
"Rs 98,999",Used,Apple,iPhone 13,128GB,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11501
"Rs 28,000",Used,Apple,iPhone 7 Plus,256gb,iOS,,256 GB,Dual,Above 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-7-plus-256gb-used-for-sale-gampaha-3305
"Rs 112,000",Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5924
"Rs 67,000",Used,Apple,iPhone 11,128GB,iOS,,128 GB,Triple,,VoLTE,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-128-used-for-sale-gampaha-565
"Rs 75,000",Used,Apple,iPhone 12 Pro,,iOS,,128 GB,,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-used-for-sale-gampaha-1851
"Rs 52,000",Used,Apple,iPhone 11 Pro,256GB,iOS,,256 GB,,,4G,,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-badulla-190
"Rs 100,000",Used,Apple,iPhone 13,128GB,iOS,,,Dual,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11490
"Rs 118,990",Used,Apple,iPhone 14,128gb,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5923
"Rs 99,990",Used,Apple,iPhone 13,256gb,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-256gb-used-for-sale-colombo-1743
"Rs 38,990",Used,Apple,iPhone SE 2,64GB White,iOS,,64 GB,,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-se-2-64gb-white-used-for-sale-colombo-5
"Rs 109,000",Used,Apple,iPhone 14,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-14-256gb-used-for-sale-colombo-889
"Rs 99,990",Used,Apple,iPhone 13,128GB Pink,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-pink-used-for-sale-colombo-93
"Rs 103,000",Used,Apple,iPhone 14,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5922
"Rs 99,990",Used,Apple,iPhone 12 Pro,256gb,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10420
"Rs 94,990",Used,Apple,iPhone 11 Pro Max,256gb,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-max-256gb-used-for-sale-colombo-6467
"Rs 149,000",Used,Apple,iPhone 14 Pro Max,Iphone 14 pro max,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-kurunegala-528
"Rs 95,000",Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,Triple,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10300
"Rs 50,000",Used,Apple,iPhone XS Max,,iOS,4 GB,256 GB,Dual,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-xs-max-used-for-sale-ratnapura-383
"Rs 75,000",Used,Apple,iPhone 11 Pro,11 Pro,iOS,8 GB,256 GB,Triple,,4G,,,https://ikman.lk/en/ad/apple-iphone-11-pro-europ-used-for-sale-colombo
"Rs 69,990",Used,Apple,iPhone 11,128gb,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19024
"Rs 99,990",Used,Apple,iPhone 12 Pro,128GB California,iOS,,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-california-used-for-sale-colombo-1
"Rs 37,000",Used,Apple,iPhone 8 Plus,64GB,iOS,3 GB,64 GB,Dual,5.1 to 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-8-plus-i-phone-864gb-used-for-sale-ratnapura
"Rs 250,000",Used,Apple,iPhone 17,256GB,iOS,,,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-17-256gb-black-used-for-sale-colombo-1
"Rs 110,000",Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-puttalam-44
"Rs 37,000",Used,Apple,iPhone 8 Plus,64GB,iOS,3 GB,64 GB,Dual,5.1 to 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-8-plus-i-phone-864gb-used-for-sale-ratnapura
"Rs 46,500",Used,Apple,iPhone XS,256GB,iOS,,256 GB,,,4G,,,https://ikman.lk/en/ad/apple-iphone-xs-i-phone-used-for-sale-galle-76
"Rs 64,990",Used,Apple,iPhone XS,512gb,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-xs-512gb-used-for-sale-colombo-487
"Rs 186,000",Used,Apple,iPhone 14 Pro,,iOS,4 GB,256 GB,Triple,Below 4 inches,5G,,,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-jaffna-94
"Rs 54,990",Used,Apple,iPhone X,256gb,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-x-256gb-used-for-sale-colombo-10775
"Rs 47,500",Used,Apple,iPhone 11,Apple,iOS,6 GB,128 GB,Dual,5.1 to 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-good-condition-used-for-sale-galle-1
"Rs 44,990",Used,Apple,iPhone 8 Plus,256gb,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-8-plus-256gb-used-for-sale-colombo-4865
"Rs 123,999",Used,Apple,iPhone 13 Pro,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-used-for-sale-colombo-3301
"Rs 44,990",Used,Apple,iPhone SE 2,128gb,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-se-2-128gb-used-for-sale-colombo-5185
"Rs 135,000",Used,Apple,iPhone 13 Pro,,iOS,,128 GB,Triple,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-used-for-sale-kandy-593
"Rs 69,000",Used,Apple,iPhone 12 Pro Max,,iOS,,128 GB,Triple,,,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-matara-272
"Rs 123,999",Used,Apple,iPhone 13 Pro,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-used-for-sale-colombo-3305
"Rs 90,000",Used,Apple,iPhone 13 Pro,256gb,iOS,,256 GB,Triple,,VoLTE,Dual VoLTE,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-batticaloa-47
"Rs 65,500",Used,Apple,iPhone 12,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-used-for-sale-colombo-3790
"Rs 42,000",Used,Apple,iPhone XS,Xs,iOS,4 GB,64 GB,Dual,5.1 to 6 inches,5G,,,https://ikman.lk/en/ad/apple-iphone-xs-used-for-sale-gampaha-2840
"Rs 405,000",Used,Apple,iPhone 17 Pro Max,,iOS,,,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-used-for-sale-colombo-40
"Rs 103,000",Used,Apple,iPhone 13,Apple,iOS,,128 GB,Dual,,VoLTE,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-blue-edition-used-for-sale-ampara
"Rs 280,299",Used,Apple,iPhone 16 Pro Max,256GB,iOS,,256 GB,Triple,,,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-256gb-used-for-sale-colombo-2384
"Rs 82,000",Used,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-ratnapura-799
"Rs 135,299",Used,Apple,iPhone 12 Pro Max,256GB,iOS,,256 GB,Triple,,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-colombo-7837
"Rs 270,000",Used,Apple,iPhone 16 Pro,,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-16-pro-used-for-sale-kurunegala-95
"Rs 105,299",Used,Apple,iPhone 12 Pro,128GB,iOS,,128 GB,Triple,,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-colombo-5608
"Rs 416,990",Used,Apple,iPhone 17 Pro Max,256GB,iOS,,256 GB,Triple,5.1 to 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-256gb-used-for-sale-gampaha-13
"Rs 250,000",Used,Apple,iPhone 17,256GB,iOS,,,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-17-256gb-black-used-for-sale-colombo-1
"Rs 234,500",Used,Apple,iPhone 15 Pro Max,512 GB,iOS,,,Triple,Above 6 inches,5G,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-512-gb-used-for-sale-colombo-82
"Rs 23,000",Used,Apple,iPhone 7 Plus,Apple,iOS,,128 GB,,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-7-plus-apple7-used-for-sale-kalutara
"Rs 15,000",Used,Apple,iPhone 6S,Apple,iOS,,64 GB,,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-6s-used-for-sale-puttalam-1989
"Rs 24,000",Used,Apple,iPhone 15 Pro Max,512GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-512gb-used-for-sale-colombo-674
"Rs 75,000",Used,Apple,iPhone 11 Pro,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-colombo-11480
"Rs 105,000",Used,Apple,iPhone 14,256GB,iOS,,256 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-14-256gb-used-for-sale-colombo-897
"Rs 83,000",Used,Apple,iPhone 12 Pro,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-12-pro-128gb-used-for-sale-colombo-5609
"Rs 71,000",Used,Apple,iPhone 12,128GB,iOS,,128 GB,Dual,,4G,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-kalutara-743
"Rs 42,000",Used,Apple,iPhone XS,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-xs-256gb-used-for-sale-colombo-8793
"Rs 98,000",Used,Apple,iPhone 13,128GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11495
"Rs 100,000",Used,Apple,iPhone 13,Apple,iOS,4 GB,256 GB,Dual,5.1 to 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-used-for-sale-colombo-3469
"Rs 76,000",Used,Apple,iPhone 12,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9700
"Rs 207,000",Used,Apple,iPhone 15 Pro Max,256GB,iOS,,256 GB,Triple,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-256gb-used-for-sale-colombo-5818
"Rs 112,000",Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,4G,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5917
"Rs 123,999",Used,Apple,iPhone 13 Pro,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-used-for-sale-colombo-3306
"Rs 92,000",Used,Apple,iPhone 13,128GB,iOS,,128 GB,Dual,,4G,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11492
"Rs 116,000",Used,Apple,iPhone 12 Pro Max,256GB,iOS,,256 GB,Triple,,4G,,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-256gb-used-for-sale-colombo-7836
"Rs 95,000",Used,Apple,iPhone 12 Pro,256GB,iOS,,256 GB,Triple,,4G,,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10415
"Rs 72,000",Used,Apple,iPhone 12,128GB,iOS,,128 GB,Dual,,4G,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9698
"Rs 198,999",Used,Apple,iPhone 15 Pro,256GB  Fullset,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-fullset-used-for-sale-colombo-12
"Rs 75,000",Used,Apple,iPhone 11 Pro,256GB,iOS,,256 GB,Triple,,4G,,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-colombo-11479
"Rs 61,000",Used,Apple,iPhone 11,128GB,iOS,,128 GB,Dual,,4G,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19017
"Rs 15,000",Used,Apple,iPhone 7,128 GB,iOS,,128 GB,,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-7-i-phone-128-gb-used-for-sale-kegalle
"Rs 15,500",Used,Apple,iPhone 7,128gb,iOS,,128 GB,,,4G,,,https://ikman.lk/en/ad/apple-iphone-7-128gb-used-for-sale-galle-1810
"Rs 128,000",Used,Apple,iPhone 13 Pro Max,Apple,iOS,,256 GB,Triple,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-13pro-used-for-sale-matara
"Rs 97,500",Used,Apple,iPhone 13,Apple,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-kalutara-954
"Rs 285,000",Brand New,Apple,iPhone 17,,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-brand-new-for-sale-kandy-1
"Rs 145,000",Used,Apple,iPhone 14 Pro,Apple,iOS,,,Triple,,5G,,,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kurunegala-500
"Rs 97,500",Used,Apple,iPhone 13,Apple,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-kalutara-954
"Rs 58,500",Used,Apple,iPhone 11,128GB,iOS,,128 GB,Dual,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-kurunegala-1771
"Rs 58,500",Used,Apple,iPhone 11,128GB,iOS,,128 GB,Dual,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-puttalam-734
"Rs 118,500",Used,Apple,iPhone 12 Pro Max,Apple iPhone,iOS,,256 GB,Dual,5.1 to 6 inches,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-batticaloa-612
"Rs 58,500",Used,Apple,iPhone 11,128GB,iOS,,128 GB,Dual,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-puttalam-733
"Rs 35,000",Used,Apple,iPhone XR,Apple,iOS,,128 GB,Dual,,VoLTE,Dual VoLTE,,https://ikman.lk/en/ad/apple-iphone-xr-used-for-sale-kalutara-377
"Rs 58,500",Used,Apple,iPhone 11,Apple,iOS,,128 GB,Dual,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-puttalam-801
"Rs 58,500",Used,Apple,iPhone 11,Apple,iOS,,128 GB,Dual,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-gampaha-4075
"Rs 200,000",Used,Apple,iPhone 14 Pro Max,256GB,iOS,,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-256gb-used-for-sale-colombo-5047
"Rs 26,000",Used,Apple,iPhone 8,,iOS,,256 GB,Dual,,,Single SIM,,https://ikman.lk/en/ad/apple-iphone-8-used-for-sale-kandy-2181
"Rs 58,500",Used,Apple,iPhone 11,128GB,iOS,,128 GB,Triple,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-gampaha-13791
"Rs 58,500",Used,Apple,iPhone 11,Apple,iOS,,128 GB,Dual,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-gampaha-4074
"Rs 58,500",Used,Apple,iPhone 11,128GB,iOS,,128 GB,Dual,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-gampaha-13790
"Rs 123,999",Used,Apple,iPhone 13 Pro,128GB,iOS,6 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-used-for-sale-colombo-3302
"Rs 21,500",Used,Apple,iPhone 7 Plus,256GB,iOS,,256 GB,Dual,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-7-plus-256gb-used-for-sale-puttalam-336
"Rs 98,999",Used,Apple,iPhone 13,128GB,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11502
"Rs 58,500",Used,Apple,iPhone 11,128GB,iOS,,128 GB,Dual,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-puttalam-732
"Rs 125,000",Used,Apple,iPhone 13 Pro Max,128GB Blue,iOS,8 GB,128 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-128gb-blue-used-for-sale-kalutara
"Rs 58,500",Used,Apple,iPhone 11,Apple,iOS,,128 GB,Dual,,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-gampaha-4073
"Rs 170,000",Used,Apple,iPhone 15 Pro,Apple,iOS,8 GB,128 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-pro-natural-titanium-used-for-sale-gampaha-8
"Rs 84,995",Used,Apple,iPhone 13 mini,128GB,iOS,,,Dual,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-mini-128gb-used-for-sale-colombo-784
"Rs 97,995",Used,Apple,iPhone 12 Pro,256GB,iOS,,,Triple,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-12-pro-256gb-used-for-sale-colombo-10411
"Rs 79,995",Used,Apple,iPhone 12,128GB,iOS,,,Dual,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9695
"Rs 82,990",Used,Apple,iPhone 12,128GB,iOS,4 GB,128 GB,Dual,5.1 to 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9696
"Rs 89,995",Used,Apple,iPhone 11 Pro Max,256GB,iOS,,,Triple,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-max-256gb-used-for-sale-colombo-6464
"Rs 110,000",Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-puttalam-44
"Rs 133,000",Used,Apple,iPhone 13 Pro,512GB Full Box,iOS,,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-512gb-full-box-used-for-sale-polonnaruwa
"Rs 67,500",Used,Apple,iPhone 11 Pro,256GB,iOS,4 GB,256 GB,Triple,4 to 5 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-kandy-1480
"Rs 64,995",Used,Apple,iPhone 11,128GB,iOS,,,Dual,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-colombo-19013
"Rs 14,500",Used,Apple,iPhone 7 Plus,,iOS,4 GB,32 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-7-plus-used-for-sale-gampaha-8963
"Rs 46,995",Used,Apple,iPhone XR,128GB,iOS,,,Dual,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-xr-128gb-used-for-sale-colombo-3518
"Rs 55,995",Used,Apple,iPhone XS,256GB,iOS,,,Dual,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-xs-256gb-used-for-sale-colombo-8791
"Rs 28,000",Used,Apple,iPhone XS,64GB,iOS,4 GB,64 GB,Dual,5.1 to 6 inches,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-xs-64gb-used-for-sale-gampaha-3414
"Rs 92,990",Used,Apple,iPhone 11 Pro Max,11 PRO MAX,iOS,4 GB,256 GB,Triple,5.1 to 6 inches,4G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-max-used-for-sale-colombo-2858
"Rs 82,990",Used,Apple,iPhone 11 Pro,Apple,iOS,4 GB,256 GB,Triple,5.1 to 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-11-pro-used-for-sale-colombo-3240
"Rs 110,000",Used,Apple,iPhone 14,128GB,iOS,,128 GB,Dual,,5G,,,https://ikman.lk/en/ad/apple-iphone-14-128-gb-used-for-sale-kandy-119
"Rs 178,900",Used,Apple,iPhone 14 Pro Max,,iOS,,,Triple,5.1 to 6 inches,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-gampaha-1240
"Rs 230,000",Used,Apple,iPhone 14 Pro Max,,iOS,16 GB,,,,5G,,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-gampaha-1239
"Rs 230,000",Used,Apple,iPhone 14 Pro Max,,iOS,,,Triple,,4G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-max-used-for-sale-gampaha-1238
"Rs 98,999",Used,Apple,iPhone 13,128GB,iOS,6 GB,128 GB,Dual,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11503
"Rs 151,000",Used,Apple,iPhone 15,,iOS,6 GB,128 GB,Dual,,5G,Dual VoLTE,,https://ikman.lk/en/ad/apple-iphone-15-used-for-sale-kurunegala-133
