Price,Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,Dual SIM,URL
"Rs 234,500",Used,Apple,iPhone 15 Pro Max,512 GB,iOS,,,Triple,Above 6 inches,5G,,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-512-gb-used-for-sale-colombo-82
"Rs 80,000",Brand New,Apple,iPhone 17 Pro Max,512GB ORGINALCONVERT,iOS,12 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-512gb-orginalconvert-brand-new-for-sale-colombo-1
"Rs 93,000",Used,Apple,iPhone 13,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-13-128gb-used-for-sale-colombo-11566
"Rs 250,000",Used,Apple,iPhone 15 Pro Max,Apple,iOS,12 GB,256 GB,,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-i-phone-promax-used-for-sale-kandy-4
"Rs 275,000",Used,Apple,iPhone 16 Pro,256GB,iOS,8 GB,256 GB,Triple,Above 6 inches,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-16-pro-256gb-used-for-sale-colombo-783
"Rs 73,000",Used,Apple,iPhone 12,128GB,iOS,,128 GB,,,,,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-colombo-9736
"Rs 145,000",Used,Apple,iPhone 13 Pro Max,13 Pro Max,iOS,,,,,,Single SIM,,https://ikman.lk/en/ad/apple-iphone-13-pro-max-used-for-sale-colombo-3124
"Rs 372,990",Brand New,Apple,iPhone 17 Pro,256GB.  {ESIM},iOS,,256 GB,,,5G,,,https://ikman.lk/en/ad/apple-iphone-17-pro-256gb-esim-brand-new-for-sale-colombo-83
"Rs 100,000",Used,Apple,iPhone 14 Pro,14,iOS,6 GB,256 GB,Triple,Above 6 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-14-pro-2024-used-for-sale-anuradhapura-2
"Rs 30,000",Used,Apple,iPhone SE 3,3,iOS,,64 GB,,,5G,Single SIM,,https://ikman.lk/en/ad/apple-iphone-se-3-used-for-sale-galle-2
"Rs 32,500",Used,Apple,iPhone SE 2,2020,iOS,4 GB,128 GB,,4 to 5 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-se-2-se2-2020-used-for-sale-kalutara
"Rs 285,000",Used,Apple,iPhone 16 Pro Max,,iOS,,256 GB,,,5G,,,https://ikman.lk/en/ad/apple-iphone-16-pro-max-used-for-sale-gampaha-216
"Rs 212,000",Used,Apple,iPhone 15 Pro,,iOS,6 GB,256 GB,Triple,4 to 5 inches,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-pro-brand-new-for-sale-ampara
"Rs 45,000",Used,Apple,iPhone XS Max,512GB,iOS,4 GB,,Quad,Above 6 inches,VoLTE,Dual VoLTE,,https://ikman.lk/en/ad/apple-iphone-xs-max-512gb-used-for-sale-kegalle-7
"Rs 210,000",Used,Apple,iPhone 15 Pro,256GB,iOS,8 GB,256 GB,Triple,,5G,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-colombo-1823
"Rs 42,500",Used,Apple,iPhone SE 2,,iOS,4 GB,128 GB,Dual,4 to 5 inches,VoLTE,Dual SIM,,https://ikman.lk/en/ad/apple-iphone-se-2-used-for-sale-ratnapura-511
