Condition,Brand,Model,Edition,Operating System,RAM,Memory,No. of Camera,Screen Size,Network,SIM Support,URL
Used,Apple,iPhone 11,11,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8195
Used,Apple,iPhone 11,11,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8196
Used,Apple,iPhone 11,11,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8197
Used,Apple,iPhone 12,128GB,iOS,4 GB,128 GB,Dual,Above 6 inches,5G,,https://ikman.lk/en/ad/apple-iphone-12-128gb-used-for-sale-polonnaruwa-100
Brand New,Apple,iPhone 17 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-brand-new-for-sale-kandy-40
Brand New,Apple,iPhone 17 Pro Max,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-pro-max-brand-new-for-sale-kandy-39
Used,Apple,iPhone 14,14,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1672
Used,Apple,iPhone 14,14,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-14-used-for-sale-colombo-1674
Used,Apple,iPhone 14 Pro,128GB,iOS,6 GB,128 GB,Triple,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-128gb-used-for-sale-gampaha-823
Used,Apple,iPhone 11,11,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8200
Used,Apple,iPhone 11,11,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8202
Used,Apple,iPhone 15 Pro Max,512 GB,iOS,,,Triple,Above 6 inches,5G,,https://ikman.lk/en/ad/apple-iphone-15-pro-max-512-gb-used-for-sale-colombo-82
Brand New,Apple,iPhone 17,,iOS,,,,,,,https://ikman.lk/en/ad/apple-iphone-17-brand-new-for-sale-kandy-1
Used,Apple,iPhone 11,11,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8200
Used,Apple,iPhone 11,11,iOS,,128 GB,,,5G,,https://ikman.lk/en/ad/apple-iphone-11-used-for-sale-colombo-8202
